PURCHASE   ORDER   SHEET  (PARTS)  FOR MOS;;;;
;;;;
ORDER DATE;;04.05.2016 13:07;;
CUSTOMER CODE;;0020-0;;
PO.NO;;27348;;
SEA/AIR;;SEA;;
SHIPPING DATE    (YYYYMMDD);;ASAP;;
<DETAIL>;;;;
REF.NO;PART.NO; QUANTITY;MODEL.NO;LOCATION
1;B-11449;100;;D/C6A
2;D-05234;400;;22A1A1
3;D-06258;40;;22A1G1
4;D-06513;20;;22A3F1
5;D-06557;10;;22A4A1
6;D-07967;80;;C/A6A
7;D-08078;50;;W/A5C
8;D-15235;40;;22B5E1
9;D-15964;600;;22D4A2
10;D-15970;300;;22D4B1
11;D-16287;60;;W/C6B
12;D-17186;300;;Q/S1A1
13;D-17619;50;;Q/S3A1
14;D-18770-10;50;;12A23B
15;D-21191;100;;333
16;D-34001;30;;18AC8B
17;D-34067;30;;18AB4B
18;D-39958;60;;S6H4B
19;D-41517;100;;ZZZ
20;D-48692;20;;F/AA5C
21;JM21080297;50;;11-12
22;JM23000127;10;;P/J8C1
23;JM23100502;10;;M/L4A2
24;JM27170001;10;;G/E5D
25;122707-9;10;;M/Q9C1
26;122728-1;10;;M/Q7C1
27;122852-0;10;;F/B5D1
28;123488-8;10;;Q/U2C1
29;158777-2;10;;I/E3C1
30;192563-1;10;;M/N2A1
31;194093-8;20;;333
32;194367-7;50;;333
33;194684-5;50;;P/D5D1
34;194925-9;20;;
35;195272-1;250;;I/D4E1
36;195341-8;10;;17C04
37;195434-1;10;;P/G1B
38;195546-0;10;;B/D3C2
39;195547-8;10;;G/A7A1
40;195548-6;50;;ZZZ
41;195558-3;20;;A/E2A
42;195559-1;20;;G/D2D1
43;195904-0;10;;A/D2C
44;196253-8;10;;18C01
45;196335-6;20;;T6F2B1
46;197025-4;10;;B/C2B1
47;197394-3;10;;1/B4D1
48;197402-0;20;;B/B9C
49;197763-8;10;;EEE
50;197769-6;10;;EEE
51;410306-2;10;;B/B5C1
52;451243-1;10;;N/A2C1
53;451424-7;20;;Q/T2B1
54;652023753;10;;19C26
55;671002552;10;;T3B5F1
56;671936001;10;;14C-05
57;763187-6;20;;J/A8A1
58;766015-4;100;;J/A5A1
59;766027-7;200;;J/C5E1
60;781037-3;10;;M/P6D2
61;781039-9;10;;M/Q5E1
62;784261-7;20;;B/B8E1
63;824905-8;5;;N/C1B1
64;B-52059;1450;;ZZZ
65;TR00000001;950;;ZZZ
66;197952-5;500;;ZZZ
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
100;;;;
101;;;;
102;;;;
103;;;;
104;;;;
105;;;;
106;;;;
107;;;;
108;;;;
109;;;;
110;;;;
111;;;;
112;;;;
113;;;;
114;;;;
115;;;;
116;;;;
117;;;;
118;;;;
119;;;;
120;;;;
121;;;;
122;;;;
123;;;;
124;;;;
125;;;;
126;;;;
127;;;;
128;;;;
129;;;;
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
195;;;;
196;;;;
197;;;;
198;;;;
199;;;;
200;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
; ;;;
; ;  ; ;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
